,compound,neutral,negative,positive
713,0.8193,0.855,0.068,0.077
714,-0.5574,0.794,0.14,0.067
715,-0.8162,0.909,0.059,0.032
716,-0.5053,0.85,0.08,0.07
717,-0.7632,0.911,0.051,0.038
718,0.8646,0.824,0.07,0.105
719,-0.6705,0.874,0.1,0.026
720,-0.6486,0.824,0.137,0.039
721,-0.3818,0.788,0.133,0.079
722,-0.6908,0.848,0.122,0.029
723,0.2869,0.87,0.061,0.069
724,0.9916,0.813,0.078,0.11
725,0.755,0.86,0.053,0.087
726,-0.7964,0.804,0.149,0.046
727,-0.7783,0.855,0.145,0.0
728,-0.7783,0.866,0.134,0.0
729,0.9804,0.838,0.038,0.124
730,0.9421,0.817,0.081,0.101
731,0.9699,0.728,0.061,0.211
732,0.9153,0.805,0.066,0.13
733,0.5859,0.846,0.061,0.094
734,-0.296,0.809,0.117,0.074
735,0.9231,0.828,0.089,0.083
736,-0.8375,0.848,0.111,0.042
737,-0.8636,0.79,0.138,0.072
738,0.9163,0.799,0.097,0.104
739,-0.6542,0.851,0.102,0.047
740,0.3182,0.777,0.11,0.112
741,-0.9089,0.834,0.103,0.062
742,-0.2023,0.786,0.119,0.095
743,0.9972,0.82,0.064,0.116
744,0.1921,0.839,0.073,0.088
745,0.5319,0.797,0.09,0.113
746,0.9842,0.78,0.065,0.155
747,-0.7303,0.83,0.13,0.04
748,-0.7399,0.799,0.139,0.062
749,-0.1833,0.797,0.097,0.106
750,-0.1531,0.818,0.1,0.082
751,0.5267,0.792,0.083,0.125
752,-0.6486,0.835,0.129,0.037
753,-0.6767,0.856,0.103,0.041
754,-0.5632,0.838,0.097,0.065
755,-0.2301,0.875,0.068,0.057
756,-0.7615,0.892,0.063,0.045
757,-0.8704,0.87,0.13,0.0
758,-0.3182,0.814,0.107,0.079
759,0.5204,0.842,0.07,0.089
760,0.4767,0.792,0.088,0.119
761,-0.8625,0.838,0.162,0.0
762,-0.3988,0.845,0.091,0.064
763,-0.5204,0.886,0.075,0.039
764,0.7318,0.848,0.06,0.092
765,-0.9137,0.854,0.074,0.071
766,-0.7059,0.902,0.079,0.02
767,-0.4184,0.86,0.076,0.064
768,-0.9996,0.792,0.119,0.088
769,-0.7783,0.848,0.152,0.0
770,-0.264,0.825,0.093,0.082
771,-0.9985,0.775,0.149,0.076
772,0.967,0.816,0.041,0.143
773,-0.7579,0.835,0.144,0.021
774,-0.5994,0.782,0.164,0.054
775,-0.0865,0.87,0.07,0.06
776,0.9118,0.819,0.068,0.113
777,0.9403,0.836,0.063,0.101
778,0.9099,0.844,0.068,0.088
779,-0.8208,0.842,0.134,0.024
780,0.5149,0.827,0.079,0.094
781,0.959,0.707,0.126,0.167
782,-0.7906,0.836,0.164,0.0
783,0.1179,0.874,0.068,0.058
784,-0.1027,0.88,0.061,0.059
785,-0.504,0.877,0.078,0.045
786,-0.7998,0.907,0.093,0.0
787,-0.7783,0.885,0.115,0.0
788,0.3485,0.851,0.08,0.069
789,0.9842,0.866,0.04,0.093
790,-0.4588,0.844,0.099,0.057
791,-0.6124,0.819,0.109,0.072
792,-0.9274,0.754,0.246,0.0
793,-0.94,0.903,0.073,0.024
794,-0.7311,0.918,0.069,0.013
795,-0.7783,0.816,0.184,0.0
796,0.6245,0.837,0.078,0.084
797,0.6459,0.841,0.076,0.083
798,-0.9331,0.802,0.12,0.077
799,-0.5106,0.886,0.072,0.042
800,-0.7998,0.845,0.155,0.0
801,-0.9843,0.796,0.127,0.077
802,-0.5994,0.822,0.134,0.044
803,-0.7998,0.848,0.152,0.0
804,0.5362,0.853,0.069,0.078
805,-0.0344,0.9,0.044,0.056
806,0.9566,0.821,0.07,0.109
807,-0.5994,0.862,0.104,0.034
808,-0.6811,0.891,0.071,0.038
809,-0.7783,0.864,0.136,0.0
810,-0.6662,0.914,0.055,0.031
811,0.594,0.853,0.063,0.084
812,-0.5106,0.836,0.108,0.055
813,-0.6968,0.901,0.075,0.024
814,-0.9915,0.808,0.134,0.058
815,-0.6416,0.904,0.067,0.029
816,0.782,0.88,0.043,0.077
817,-0.9949,0.803,0.126,0.071
818,-0.1687,0.866,0.076,0.059
819,0.9308,0.788,0.073,0.139
820,0.4822,0.87,0.053,0.077
821,-0.7783,0.866,0.134,0.0
822,0.9803,0.863,0.058,0.079
823,-0.8963,0.829,0.089,0.081
824,-0.8668,0.833,0.107,0.06
825,-0.644,0.859,0.091,0.051
826,-0.2865,0.818,0.096,0.086
827,-0.999,0.727,0.239,0.034
828,0.9864,0.805,0.084,0.111
829,0.9825,0.814,0.083,0.103
830,0.9851,0.821,0.078,0.101
831,-0.6705,0.87,0.103,0.027
832,-0.2151,0.858,0.074,0.068
833,0.9984,0.738,0.086,0.177
834,0.9984,0.738,0.085,0.177
835,-0.7117,0.77,0.137,0.093
836,-0.0258,0.792,0.118,0.09
837,-0.8478,0.833,0.167,0.0
838,-0.7717,0.869,0.107,0.024
839,0.3933,0.852,0.069,0.079
840,-0.7783,0.855,0.145,0.0
841,-0.6486,0.828,0.112,0.059
842,-0.7219,0.874,0.101,0.025
843,0.924,0.854,0.049,0.097
844,-0.6641,0.828,0.131,0.041
845,-0.836,0.815,0.185,0.0
846,-0.2023,0.802,0.11,0.088
847,-0.6124,0.779,0.167,0.053
848,-0.9414,0.777,0.131,0.092
849,0.9828,0.842,0.049,0.11
850,-0.7096,0.87,0.09,0.04
851,-0.5106,0.838,0.107,0.055
852,0.9719,0.759,0.078,0.162
853,0.9925,0.765,0.037,0.198
854,-0.4404,0.896,0.063,0.042
855,0.9457,0.754,0.066,0.18
856,-0.7783,0.816,0.184,0.0
857,-0.7964,0.862,0.138,0.0
858,-0.7579,0.832,0.146,0.022
859,0.9453,0.838,0.054,0.108
860,-0.6486,0.844,0.122,0.035
861,-0.25,0.873,0.075,0.053
862,0.9382,0.893,0.04,0.067
863,0.9941,0.801,0.047,0.152
864,-0.7783,0.839,0.161,0.0
865,-0.4588,0.818,0.118,0.064
866,-0.594,0.849,0.111,0.04
867,0.3939,0.873,0.058,0.069
868,-0.7845,0.861,0.117,0.022
869,-0.785,0.816,0.148,0.036
870,-0.7783,0.86,0.14,0.0
871,0.6908,0.853,0.056,0.092
872,-0.7998,0.884,0.116,0.0
873,-0.5661,0.79,0.132,0.078
874,-0.4588,0.916,0.054,0.03
875,-0.1681,0.816,0.103,0.081
876,-0.6808,0.836,0.121,0.044
877,0.25,0.885,0.047,0.068
878,-0.9652,0.78,0.17,0.049
879,-0.7783,0.872,0.128,0.0
880,0.9993,0.786,0.069,0.145
881,-0.8559,0.857,0.073,0.07
882,0.9993,0.786,0.069,0.145
883,-0.7686,0.86,0.068,0.072
884,0.9261,0.824,0.056,0.12
885,-0.7351,0.845,0.12,0.035
886,-0.9734,0.802,0.137,0.061
887,-0.5514,0.813,0.124,0.062
888,0.5994,0.746,0.099,0.155
889,0.212,0.798,0.096,0.105
890,-0.997,0.757,0.183,0.06
891,0.9994,0.797,0.064,0.14
892,-0.7783,0.87,0.13,0.0
893,-0.886,0.921,0.064,0.015
894,-0.4215,0.837,0.104,0.059
895,-0.4329,0.824,0.098,0.078
896,-0.3506,0.848,0.105,0.047
897,0.89,0.843,0.043,0.114
898,0.9625,0.831,0.039,0.13
899,-0.6705,0.887,0.09,0.023
900,-0.2263,0.784,0.121,0.095
901,-0.7627,0.848,0.129,0.023
902,-0.7783,0.862,0.138,0.0
903,-0.6705,0.892,0.085,0.022
904,0.6494,0.721,0.108,0.171
905,-0.1779,0.88,0.066,0.053
906,-0.9974,0.78,0.191,0.029
907,-0.6705,0.861,0.11,0.029
908,0.8928,0.831,0.066,0.103
909,-0.3024,0.814,0.114,0.072
910,-0.4515,0.81,0.13,0.06
911,-0.4818,0.827,0.097,0.076
912,-0.9701,0.81,0.158,0.032
913,0.9926,0.821,0.058,0.121
914,0.9774,0.811,0.038,0.151
915,-0.9611,0.823,0.131,0.046
916,0.7762,0.853,0.064,0.083
917,0.9976,0.772,0.035,0.193
918,0.9956,0.789,0.036,0.175
919,0.9854,0.82,0.046,0.134
920,0.9982,0.747,0.07,0.183
921,-0.6908,0.898,0.075,0.027
922,0.3612,0.809,0.088,0.103
923,-0.7783,0.833,0.167,0.0
924,0.9604,0.806,0.067,0.126
925,0.9923,0.822,0.03,0.148
926,-0.7579,0.813,0.163,0.024
927,0.9091,0.861,0.039,0.1
928,-0.4215,0.845,0.099,0.056
929,0.9969,0.856,0.033,0.111
930,-0.9485,0.797,0.129,0.074
931,-0.6705,0.852,0.117,0.031
932,-0.7783,0.866,0.134,0.0
933,0.9975,0.851,0.038,0.111
934,-0.163,0.844,0.086,0.071
935,-0.6486,0.824,0.137,0.039
936,0.163,0.802,0.092,0.106
937,-0.7783,0.83,0.17,0.0
938,-0.7783,0.874,0.126,0.0
939,0.8176,0.812,0.061,0.127
940,-0.7783,0.83,0.17,0.0
941,-0.6486,0.83,0.133,0.038
942,0.9661,0.782,0.058,0.159
943,0.9825,0.772,0.088,0.14
944,-0.6486,0.796,0.159,0.045
945,-0.9272,0.774,0.154,0.072
946,0.0258,0.897,0.051,0.052
947,-0.7783,0.836,0.164,0.0
948,-0.0772,0.808,0.101,0.091
949,-0.5848,0.86,0.095,0.045
950,-0.7783,0.83,0.17,0.0
951,-0.7783,0.848,0.152,0.0
952,0.9984,0.809,0.046,0.144
953,0.9951,0.864,0.037,0.099
954,-0.6939,0.825,0.135,0.041
955,-0.6486,0.799,0.156,0.044
956,-0.2577,0.78,0.11,0.11
957,-0.6705,0.818,0.144,0.038
958,0.9972,0.731,0.054,0.215
959,0.8481,0.797,0.069,0.134
960,0.9991,0.696,0.053,0.252
961,0.908,0.798,0.066,0.136
962,-0.466,0.821,0.114,0.065
963,-0.9946,0.82,0.113,0.067
964,0.29,0.874,0.062,0.063
965,0.1466,0.872,0.065,0.064
966,-0.896,0.766,0.121,0.113
967,0.9151,0.88,0.051,0.069
968,0.9991,0.809,0.082,0.109
969,-0.9937,0.708,0.202,0.09
970,0.8655,0.794,0.067,0.14
971,-0.8831,0.865,0.135,0.0
972,-0.7783,0.833,0.167,0.0
973,-0.6705,0.878,0.097,0.025
974,-0.3109,0.815,0.1,0.085
975,-0.9981,0.792,0.142,0.066
976,-0.6705,0.89,0.087,0.023
977,-0.9274,0.792,0.208,0.0
978,0.9998,0.706,0.079,0.214
979,0.9998,0.699,0.082,0.219
980,-0.7783,0.845,0.155,0.0
981,0.9998,0.714,0.08,0.206
982,-0.8655,0.883,0.09,0.027
983,-0.3532,0.835,0.094,0.07
984,0.5175,0.799,0.081,0.121
985,0.9886,0.654,0.054,0.292
986,0.9275,0.806,0.047,0.147
987,0.9571,0.715,0.067,0.218
988,0.908,0.798,0.066,0.136
989,0.996,0.73,0.03,0.239
990,0.986,0.845,0.029,0.126
991,0.1874,0.781,0.108,0.112
992,0.8667,0.829,0.062,0.109
993,0.9381,0.845,0.039,0.116
994,0.994,0.827,0.067,0.106
995,0.4767,0.874,0.051,0.075
996,0.9997,0.836,0.043,0.121
997,-0.8095,0.828,0.172,0.0
998,-0.8095,0.861,0.139,0.0
999,0.8271,0.741,0.098,0.161
1000,0.9885,0.769,0.068,0.163
1001,-0.9889,0.859,0.101,0.04
1002,-0.8271,0.794,0.175,0.031
1003,0.9145,0.75,0.095,0.156
1004,-0.6486,0.825,0.124,0.052
1005,0.1522,0.847,0.074,0.078
1006,0.991,0.743,0.051,0.206
1007,0.9958,0.777,0.032,0.191
1008,0.546,0.859,0.061,0.079
1009,0.8316,0.764,0.085,0.151
1010,-0.2183,0.877,0.061,0.062
1011,0.9991,0.78,0.04,0.18
1012,0.7334,0.835,0.067,0.098
1013,-0.8534,0.827,0.109,0.065
1014,0.8591,0.749,0.088,0.163
1015,-0.6705,0.874,0.1,0.026
1016,0.975,0.761,0.052,0.188
1017,-0.5171,0.878,0.073,0.049
1018,-0.533,0.808,0.105,0.086
1019,-0.9747,0.889,0.096,0.015
1020,-0.7783,0.83,0.17,0.0
1021,-0.6751,0.834,0.098,0.067
1022,-0.6553,0.844,0.106,0.05
1023,-0.4871,0.812,0.122,0.067
1024,-0.9186,0.8,0.124,0.077
1025,0.2103,0.823,0.084,0.092
1026,-0.5098,0.87,0.075,0.054
1027,0.9618,0.822,0.058,0.12
1028,0.9797,0.811,0.042,0.147
1029,0.9911,0.815,0.032,0.154
1030,-0.6767,0.838,0.116,0.046
1031,-0.1027,0.822,0.096,0.081
1032,-0.9749,0.824,0.106,0.07
1033,0.8001,0.813,0.066,0.12
1034,0.9888,0.768,0.04,0.192
1035,-0.168,0.803,0.108,0.089
1036,0.6124,0.782,0.099,0.119
1037,-0.3506,0.814,0.116,0.07
1038,0.3048,0.819,0.085,0.097
1039,-0.776,0.792,0.127,0.081
1040,0.8176,0.781,0.074,0.145
1041,-0.7783,0.855,0.145,0.0
1042,0.6705,0.792,0.076,0.132
1043,-0.5106,0.813,0.123,0.063
1044,-0.1779,0.869,0.068,0.063
1045,-0.6486,0.835,0.129,0.037
1046,0.9857,0.844,0.046,0.11
1047,0.959,0.669,0.082,0.25
1048,-0.6767,0.815,0.13,0.055
1049,0.1632,0.761,0.13,0.109
1050,0.9907,0.806,0.056,0.137
1051,0.9759,0.845,0.063,0.092
1052,-0.7783,0.83,0.17,0.0
1053,-0.9539,0.867,0.116,0.017
1054,-0.0258,0.864,0.072,0.064
1055,0.9848,0.847,0.058,0.095
1056,-0.7579,0.887,0.099,0.015
1057,-0.6705,0.938,0.049,0.013
1058,0.8625,0.783,0.079,0.138
1059,-0.3094,0.932,0.039,0.029
1060,0.9696,0.835,0.065,0.1
1061,0.8361,0.839,0.05,0.111
1062,-0.3695,0.893,0.058,0.049
1063,-0.6705,0.904,0.076,0.02
1064,-0.2263,0.922,0.044,0.034
1065,-0.993,0.8,0.115,0.085
1066,0.5362,0.823,0.077,0.1
1067,-0.6705,0.858,0.113,0.029
1068,-0.2263,0.896,0.058,0.046
1069,-0.6705,0.854,0.116,0.03
1070,-0.8519,0.854,0.125,0.021
1071,-0.1027,0.818,0.099,0.083
1072,-0.9694,0.826,0.1,0.074
1073,0.4588,0.807,0.091,0.101
1074,-0.8466,0.817,0.143,0.04
1075,0.5647,0.845,0.059,0.096
1076,-0.9114,0.886,0.106,0.009
1077,0.6124,0.867,0.052,0.081
1078,-0.4003,0.822,0.112,0.066
1079,0.9349,0.823,0.08,0.097
1080,-0.34,0.863,0.077,0.061
1081,-0.741,0.923,0.051,0.026
1082,0.4929,0.883,0.053,0.064
1083,-0.0274,0.901,0.052,0.047
1084,-0.7783,0.853,0.147,0.0
1085,0.9057,0.823,0.056,0.121
1086,-0.8299,0.825,0.175,0.0
1087,-0.4588,0.879,0.078,0.043
1088,-0.1027,0.786,0.12,0.094
1089,-0.5362,0.881,0.069,0.05
1090,-0.2023,0.823,0.093,0.084
1091,-0.6369,0.878,0.087,0.036
1092,0.5488,0.867,0.065,0.069
1093,-0.7959,0.87,0.13,0.0
1094,-0.4588,0.894,0.074,0.032
1095,-0.8156,0.788,0.142,0.07
1096,-0.9629,0.852,0.103,0.045
1097,-0.8504,0.879,0.109,0.012
1098,-0.5696,0.833,0.112,0.056
1099,0.3013,0.836,0.077,0.087
1100,0.1027,0.796,0.095,0.11
1101,0.5267,0.882,0.052,0.066
1102,-0.7783,0.845,0.155,0.0
1103,-0.7579,0.82,0.157,0.023
1104,0.4195,0.874,0.058,0.068
1105,-0.7622,0.814,0.159,0.028
1106,0.6751,0.807,0.084,0.11
1107,0.8875,0.853,0.044,0.102
1108,0.6208,0.768,0.118,0.114
1109,-0.7783,0.845,0.155,0.0
1110,-0.7783,0.853,0.147,0.0
1111,-0.9331,0.875,0.109,0.016
1112,-0.6124,0.792,0.145,0.063
1113,-0.7783,0.842,0.158,0.0
1114,0.5106,0.814,0.075,0.111
1115,0.3034,0.836,0.077,0.087
1116,0.9991,0.824,0.041,0.135
1117,0.8845,0.817,0.068,0.115
1118,-0.9465,0.887,0.063,0.05
1119,0.0926,0.912,0.037,0.051
1120,-0.7783,0.845,0.155,0.0
1121,0.9934,0.719,0.093,0.188
1122,-0.6929,0.895,0.085,0.02
1123,0.8975,0.814,0.06,0.127
1124,0.7501,0.823,0.075,0.102
1125,0.9534,0.805,0.067,0.128
1126,-0.0129,0.848,0.081,0.071
1127,-0.6786,0.857,0.086,0.057
1128,-0.2165,0.897,0.051,0.052
1129,0.264,0.807,0.1,0.093
1130,-0.7184,0.816,0.153,0.031
1131,0.995,0.821,0.061,0.118
1132,-0.4215,0.787,0.136,0.077
1133,-0.5106,0.834,0.11,0.056
1134,0.868,0.747,0.084,0.168
1135,-0.7184,0.816,0.113,0.071
1136,0.1531,0.862,0.067,0.071
1137,-0.6047,0.883,0.057,0.06
1138,-0.7579,0.794,0.179,0.026
1139,-0.7579,0.82,0.157,0.023
1140,0.8481,0.886,0.049,0.065
1141,0.9106,0.883,0.044,0.073
1142,-0.3182,0.861,0.076,0.063
1143,0.0926,0.876,0.064,0.06
1144,0.9064,0.885,0.045,0.07
1145,0.9052,0.888,0.042,0.07
1146,0.2382,0.876,0.061,0.063
1147,0.2244,0.763,0.138,0.099
1148,-0.8338,0.838,0.141,0.021
1149,-0.9884,0.786,0.202,0.012
1150,-0.7783,0.827,0.173,0.0
1151,-0.9951,0.756,0.208,0.036
1152,0.2755,0.798,0.095,0.107
1153,-0.7964,0.805,0.158,0.036
1154,0.7463,0.79,0.09,0.121
1155,-0.7783,0.862,0.138,0.0
1156,-0.1759,0.798,0.112,0.091
1157,-0.7783,0.858,0.142,0.0
1158,-0.7269,0.898,0.083,0.018
1159,-0.5859,0.908,0.059,0.033
1160,0.5411,0.837,0.068,0.095
1161,0.963,0.719,0.076,0.205
1162,0.8205,0.89,0.041,0.07
1163,-0.7998,0.857,0.143,0.0
1164,-0.3313,0.88,0.069,0.051
1165,0.9432,0.802,0.061,0.138
1166,0.9674,0.808,0.051,0.141
1167,-0.749,0.866,0.11,0.024
1168,-0.7783,0.842,0.158,0.0
1169,-0.7059,0.886,0.076,0.038
1170,0.2709,0.807,0.106,0.087
1171,0.5661,0.88,0.052,0.068
1172,-0.8555,0.845,0.107,0.048
1173,-0.8555,0.848,0.105,0.047
1174,-0.999,0.796,0.113,0.091
1175,-0.3414,0.785,0.109,0.106
1176,0.4689,0.832,0.087,0.08
1177,0.9892,0.845,0.023,0.132
1178,0.8382,0.841,0.063,0.096
1179,0.6292,0.847,0.066,0.088
1180,-0.7783,0.86,0.14,0.0
1181,-0.5994,0.87,0.083,0.046
1182,-0.9062,0.902,0.087,0.011
1183,0.6808,0.877,0.053,0.07
1184,-0.4588,0.837,0.098,0.065
1185,-0.8385,0.876,0.094,0.03
1186,-0.5709,0.881,0.066,0.053
1187,0.6701,0.892,0.046,0.062
1188,-0.1027,0.869,0.068,0.063
1189,0.9973,0.796,0.058,0.145
1190,0.7811,0.839,0.065,0.096
1191,-0.3049,0.887,0.052,0.06
1192,-0.9957,0.858,0.098,0.044
1193,-0.168,0.822,0.098,0.08
1194,-0.743,0.68,0.19,0.129
1195,0.644,0.885,0.046,0.069
1196,0.9955,0.813,0.045,0.142
1197,-0.9947,0.804,0.106,0.09
1198,-0.9941,0.808,0.104,0.089
1199,-0.9946,0.809,0.103,0.088
1200,0.4102,0.868,0.063,0.068
1201,-0.3536,0.871,0.068,0.062
1202,-0.6124,0.85,0.09,0.059
1203,0.8633,0.753,0.091,0.155
1204,0.9202,0.852,0.062,0.087
1205,0.6166,0.831,0.076,0.093
1206,0.6374,0.848,0.072,0.081
1207,-0.7783,0.897,0.103,0.0
1208,-0.8042,0.839,0.134,0.027
1209,-0.6478,0.893,0.075,0.032
1210,-0.7579,0.823,0.154,0.023
1211,-0.7783,0.848,0.152,0.0
1212,-0.7879,0.877,0.072,0.052
1213,-0.1027,0.832,0.081,0.087
1214,-0.6767,0.907,0.067,0.026
1215,0.9259,0.88,0.047,0.072
1216,0.8981,0.886,0.05,0.064
1217,0.584,0.806,0.089,0.104
1218,0.9452,0.886,0.043,0.072
1219,0.9338,0.886,0.047,0.067
1220,0.9433,0.884,0.047,0.069
1221,0.3195,0.786,0.1,0.115
1222,0.9521,0.887,0.043,0.069
1223,0.9539,0.886,0.045,0.069
1224,0.9452,0.884,0.049,0.067
1225,0.9452,0.885,0.048,0.067
1226,-0.6966,0.916,0.06,0.024
1227,-0.8161,0.795,0.155,0.05
1228,-0.9062,0.85,0.139,0.011
1229,0.1531,0.835,0.08,0.085
1230,0.9965,0.773,0.048,0.179
1231,0.9841,0.832,0.052,0.116
1232,-0.09,0.867,0.072,0.061
1233,0.9968,0.81,0.045,0.145
1234,-0.7783,0.842,0.158,0.0
1235,0.8101,0.779,0.078,0.143
1236,0.9696,0.761,0.055,0.183
1237,0.9655,0.827,0.036,0.137
1238,-0.6054,0.798,0.105,0.096
1239,0.7227,0.841,0.052,0.107
1240,-0.5574,0.774,0.166,0.06
1241,0.9883,0.786,0.041,0.173
1242,-0.7783,0.845,0.155,0.0
1243,-0.8481,0.873,0.097,0.03
1244,0.9962,0.835,0.026,0.139
1245,0.9919,0.86,0.027,0.113
1246,-0.8834,0.905,0.082,0.014
1247,0.9922,0.866,0.048,0.086
1248,-0.6908,0.812,0.152,0.036
1249,-0.7112,0.802,0.116,0.082
1250,-0.6249,0.883,0.089,0.027
1251,-0.5859,0.802,0.116,0.082
1252,-0.7003,0.841,0.093,0.066
1253,0.4404,0.81,0.087,0.103
1254,-0.8568,0.85,0.095,0.055
1255,0.936,0.904,0.031,0.064
1256,0.8143,0.799,0.084,0.117
1257,-0.6561,0.851,0.089,0.06
1258,0.799,0.84,0.077,0.083
1259,-0.6705,0.891,0.086,0.023
1260,0.0258,0.869,0.074,0.058
1261,0.7639,0.778,0.113,0.109
1262,0.784,0.876,0.04,0.084
1263,-0.7783,0.885,0.115,0.0
1264,0.98,0.787,0.054,0.158
1265,0.9856,0.798,0.047,0.156
1266,0.9824,0.808,0.058,0.134
1267,-0.5979,0.806,0.11,0.084
1268,-0.8481,0.849,0.151,0.0
1269,-0.0258,0.811,0.095,0.094
1270,-0.6808,0.862,0.098,0.04
1271,-0.8299,0.856,0.144,0.0
1272,-0.6705,0.861,0.11,0.029
1273,0.0772,0.875,0.062,0.064
1274,0.8442,0.857,0.045,0.098
1275,0.7269,0.866,0.048,0.086
1276,-0.9924,0.791,0.178,0.031
1277,0.8738,0.8,0.071,0.129
1278,-0.4183,0.905,0.06,0.034
1279,-0.2504,0.831,0.091,0.079
1280,0.6688,0.832,0.064,0.104
1281,-0.802,0.897,0.088,0.014
1282,-0.8567,0.827,0.107,0.066
1283,-0.8402,0.804,0.196,0.0
1284,-0.9558,0.879,0.09,0.03
1285,0.9992,0.764,0.095,0.141
1286,0.9977,0.743,0.038,0.219
1287,0.9889,0.815,0.081,0.104
1288,-0.7783,0.858,0.142,0.0
1289,-0.128,0.854,0.08,0.066
1290,0.9989,0.799,0.051,0.15
1291,-0.5843,0.861,0.083,0.055
1292,0.9344,0.877,0.053,0.07
1293,-0.1697,0.782,0.112,0.106
1294,-0.0314,0.809,0.105,0.086
1295,-0.6908,0.872,0.104,0.025
1296,-0.3736,0.844,0.097,0.059
1297,-0.0173,0.92,0.043,0.037
1298,0.186,0.789,0.107,0.104
1299,-0.8481,0.842,0.158,0.0
1300,-0.4767,0.899,0.061,0.04
1301,-0.7059,0.866,0.107,0.027
1302,-0.7783,0.83,0.17,0.0
1303,-0.8555,0.835,0.128,0.038
1304,0.9898,0.804,0.063,0.133
1305,-0.6208,0.752,0.189,0.059
1306,-0.8927,0.811,0.162,0.027
1307,0.3182,0.78,0.102,0.118
1308,-0.6705,0.848,0.12,0.031
1309,-0.5859,0.866,0.079,0.055
1310,-0.6908,0.808,0.155,0.037
1311,-0.0772,0.809,0.097,0.094
1312,0.9934,0.766,0.061,0.173
1313,-0.6908,0.827,0.14,0.033
1314,-0.9494,0.838,0.127,0.035
1315,-0.7783,0.866,0.134,0.0
1316,-0.7783,0.86,0.14,0.0
1317,-0.168,0.871,0.071,0.058
1318,-0.9934,0.733,0.267,0.0
1319,0.7579,0.803,0.075,0.122
1320,-0.1943,0.905,0.049,0.045
1321,0.3885,0.769,0.106,0.125
1322,-0.9419,0.853,0.112,0.035
1323,-0.4767,0.81,0.115,0.075
1324,-0.3818,0.813,0.113,0.074
1325,-0.8042,0.831,0.141,0.028
1326,-0.34,0.882,0.073,0.045
1327,-0.6908,0.827,0.14,0.033
1328,-0.4019,0.832,0.099,0.069
1329,0.5913,0.914,0.035,0.051
1330,-0.8402,0.807,0.193,0.0
1331,-0.7717,0.858,0.126,0.016
1332,-0.7783,0.827,0.173,0.0
1333,-0.6868,0.864,0.107,0.029
1334,0.8826,0.815,0.061,0.125
1335,0.944,0.824,0.063,0.113
1336,-0.6174,0.841,0.117,0.041
1337,0.1179,0.875,0.061,0.064
1338,-0.7783,0.868,0.132,0.0
1339,0.9897,0.798,0.056,0.146
1340,-0.4767,0.845,0.094,0.061
1341,-0.6124,0.781,0.153,0.066
1342,-0.9738,0.808,0.143,0.049
1343,-0.7096,0.867,0.1,0.033
1344,0.6633,0.881,0.056,0.064
1345,-0.1027,0.886,0.06,0.054
1346,-0.3612,0.814,0.109,0.078
1347,0.9431,0.829,0.051,0.12
1348,0.8845,0.871,0.057,0.071
1349,0.3818,0.83,0.082,0.088
1350,-0.6908,0.818,0.147,0.035
1351,-0.7059,0.872,0.102,0.026
1352,-0.6908,0.829,0.138,0.033
1353,-0.6705,0.897,0.081,0.021
1354,-0.5859,0.796,0.14,0.064
1355,-0.4019,0.795,0.117,0.088
1356,0.5994,0.829,0.075,0.096
1357,0.8875,0.835,0.062,0.103
1358,0.9999,0.73,0.077,0.194
1359,-0.8889,0.826,0.088,0.086
1360,-0.9259,0.879,0.089,0.032
1361,-0.6908,0.812,0.152,0.036
1362,-0.1531,0.766,0.138,0.097
1363,-0.6908,0.835,0.134,0.032
1364,0.8617,0.81,0.067,0.124
1365,-0.6908,0.815,0.149,0.036
1366,-0.6908,0.812,0.152,0.036
1367,-0.3164,0.759,0.147,0.094
1368,0.8164,0.842,0.06,0.098
1369,0.9937,0.76,0.038,0.202
1370,-0.9503,0.871,0.111,0.018
1371,-0.7783,0.864,0.136,0.0
1372,-0.6908,0.815,0.149,0.036
1373,-0.5267,0.871,0.086,0.043
1374,-0.2484,0.829,0.092,0.079
1375,0.9116,0.757,0.073,0.17
1376,-0.9803,0.742,0.258,0.0
1377,0.998,0.72,0.052,0.228
1378,0.64,0.729,0.114,0.157
1379,0.9903,0.767,0.061,0.172
1380,-0.7906,0.895,0.089,0.017
1381,0.9883,0.789,0.071,0.139
1382,0.9328,0.78,0.093,0.127
1383,0.6739,0.84,0.064,0.097
1384,-0.712,0.851,0.085,0.064
1385,-0.9542,0.838,0.111,0.051
1386,-0.965,0.862,0.101,0.037
1387,-0.2263,0.873,0.069,0.058
1388,-0.7945,0.897,0.06,0.043
1389,-0.8519,0.799,0.117,0.084
1390,0.9935,0.811,0.042,0.147
1391,-0.4588,0.814,0.112,0.074
1392,-0.3818,0.835,0.111,0.053
1393,-0.7783,0.842,0.158,0.0
1394,0.9886,0.798,0.059,0.143
1395,-0.383,0.793,0.118,0.089
1396,-0.9958,0.814,0.099,0.087
1397,-0.6448,0.89,0.085,0.025
1398,0.9413,0.77,0.061,0.169
1399,-0.4761,0.848,0.087,0.065
1400,0.2183,0.888,0.051,0.061
1401,0.6523,0.837,0.065,0.097
1402,-0.947,0.907,0.069,0.023
1403,-0.9359,0.908,0.063,0.029
1404,-0.7783,0.87,0.13,0.0
1405,-0.8832,0.782,0.218,0.0
1406,-0.8076,0.81,0.141,0.05
1407,0.9993,0.808,0.066,0.126
1408,-0.7783,0.853,0.147,0.0
